protein_id	ElementSymbol
cohort_merged__DRR127478__k141_49881::7::8796::10820::+	bla
cohort_merged__DRR127478__k141_52723::2::260::952::-	vanR
cohort_merged__DRR127478__k141_5608::1::182::889::+	vanR
cohort_merged__DRR127478__k141_57773::6::4400::5095::-	vanR
cohort_merged__DRR127478__k141_65158::5::3625::5064::+	aac(6')-Ie/aph(2'')-Ia
cohort_merged__DRR127478__k141_67158::1::266::832::+	blaACI
cohort_merged__DRR127478__k141_72134::8::5727::6617::-	bla
cohort_merged__DRR127478__k141_7488::2::192::686::-	dfrF
cohort_merged__DRR127478__k141_80375::25::33084::34880::-	blaR1
cohort_merged__DRR127478__k141_83249::1::445::891::-	aac(6')
cohort_merged__DRR127478__k141_85157::22::22005::22703::+	vanR
cohort_merged__DRR127481__k141_115889::3::1115::1810::+	vanR
cohort_merged__DRR127481__k141_131850::1::147::1313::-	tet(X2)
cohort_merged__DRR127481__k141_14479::2::155::1642::+	lsa
cohort_merged__DRR127481__k141_15218::8::8423::9328::-	bla
cohort_merged__DRR127481__k141_1767::10::6636::7733::+	erm(F)
cohort_merged__DRR127481__k141_1838::1::419::1645::+	ere(D)
cohort_merged__DRR127481__k141_1838::3::3068::3697::+	catB
cohort_merged__DRR127481__k141_19924::2::218::1102::+	bla
cohort_merged__DRR127481__k141_21799::4::3840::4541::-	vanR
cohort_merged__DRR127481__k141_39080::3::1562::2482::-	bla
cohort_merged__DRR127481__k141_52392::57::56877::57575::-	vanR
cohort_merged__DRR127481__k141_63836::1::61::498::+	aac(6')
cohort_merged__DRR127481__k141_67901::8::6233::7132::-	bla
cohort_merged__DRR127481__k141_94109::27::27520::28335::-	blaOXA
cohort_merged__DRR127481__k141_98263::2::1077::1985::+	bla
cohort_merged__DRR127485__k141_121188::6::5591::7429::+	blaR1
cohort_merged__DRR127485__k141_136568::3::2373::3275::+	bla
cohort_merged__DRR127485__k141_227835::15::14760::16553::-	blaR1
cohort_merged__DRR127485__k141_238616::3::1173::1823::+	catA
cohort_merged__DRR127485__k141_253093::3::1562::2197::+	vat
cohort_merged__DRR127485__k141_25435::6::5018::5713::-	vanR
cohort_merged__DRR127485__k141_2807::4::2307::2996::-	vanR
cohort_merged__DRR127485__k141_34918::6::5620::6318::-	vanR
cohort_merged__DRR127485__k141_78971::2::1416::2165::+	aph(3')-H510
cohort_merged__DRR127485__k141_78971::3::2188::2622::+	aac(6')-E64
cohort_merged__DRR127485__k141_91599::3::2239::2697::+	aac(6')
cohort_merged__DRR127488__k141_11400::8::3547::4764::-	mef(A)
cohort_merged__DRR127488__k141_188212::2::2024::2665::+	vat
cohort_merged__DRR127488__k141_3582::4::1828::2757::-	erm(52)
cohort_merged__DRR127488__k141_45604::2::418::1050::+	catA
cohort_merged__DRR127488__k141_57313::5::4324::6120::-	blaR1
cohort_merged__DRR127488__k141_81003::10::8573::9289::+	vanR
cohort_merged__DRR127488__k141_81003::12::10697::11749::+	vanG
cohort_merged__DRR127488__k141_81003::14::12405::14603::+	vanT
cohort_merged__DRR127507__k141_103630::7::5769::6392::-	catA
cohort_merged__DRR127507__k141_45920::2::418::846::-	aac(6')
cohort_merged__DRR127507__k141_63856::4::1204::2457::-	tetB(46)
cohort_merged__DRR127507__k141_66024::6::9130::9825::+	vanR
cohort_merged__DRR127509__k141_113525::16::19581::21380::-	blaR1
cohort_merged__DRR127509__k141_126648::3::738::1790::+	vanG
cohort_merged__DRR127509__k141_18029::2::186::1988::-	blaR1
cohort_merged__DRR127509__k141_21617::59::58404::59651::-	blaR1
cohort_merged__DRR127509__k141_36701::18::21454::22143::+	vanR
cohort_merged__DRR127509__k141_50938::3::968::1381::+	arr
cohort_merged__DRR127509__k141_53246::41::36322::36954::+	catA
cohort_merged__DRR127509__k141_59793::11::9402::10097::+	vanR
cohort_merged__DRR127509__k141_59793::13::11305::12321::+	vanG
cohort_merged__DRR127509__k141_59793::16::14056::15165::+	vanT
cohort_merged__DRR127509__k141_73404::1::447::1481::+	vanA
cohort_merged__DRR127509__k141_98245::3::1077::2129::-	vanG
cohort_merged__DRR127514__k141_108018::1::289::1149::-	blaTEM-1
cohort_merged__DRR127514__k141_108018::6::6511::7167::+	qnrS1
cohort_merged__DRR127514__k141_72932::1::210::1115::+	mph(A)
cohort_merged__DRR127514__k141_99193::2::434::1273::-	sul1
cohort_merged__DRR127514__k141_99193::3::1267::1614::-	qacEdelta1
cohort_merged__DRR127514__k141_99193::4::1820::2410::-	aadA5
cohort_merged__DRR127514__k141_99193::8::4975::5394::+	aph(3'')-Ib
cohort_merged__DRR127514__k141_99193::9::5394::6230::+	aph(6)-Id
cohort_merged__DRR127515__k141_114207::5::2690::3895::-	mef(En2)
cohort_merged__DRR127515__k141_133674::3::1544::2860::-	vanG
cohort_merged__DRR127515__k141_136599::3::1399::2193::+	ant(9)
cohort_merged__DRR127515__k141_144529::66::64515::65342::-	erm
cohort_merged__DRR127515__k141_144990::5::4359::5105::-	vanR
cohort_merged__DRR127515__k141_149217::3::1853::2896::-	vanG
cohort_merged__DRR127515__k141_15912::19::21556::22179::+	catA
cohort_merged__DRR127515__k141_165092::39::36980::37618::+	vat
cohort_merged__DRR127515__k141_178943::3::1386::2273::-	vanW
cohort_merged__DRR127515__k141_180384::1::223::657::+	aac(6')-E111
cohort_merged__DRR127515__k141_190592::8::3608::4237::-	catA
cohort_merged__DRR127515__k141_205452::2::269::970::-	vanR
cohort_merged__DRR127515__k141_217558::3::1956::2846::-	bla
cohort_merged__DRR127515__k141_230449::3::985::2040::-	vanG
cohort_merged__DRR127515__k141_230449::5::3264::3965::-	vanR
cohort_merged__DRR127515__k141_249093::2::1041::1739::-	vanR
cohort_merged__DRR127515__k141_255721::83::82719::83360::-	vat
cohort_merged__DRR127515__k141_271497::1::36::923::-	bla
cohort_merged__DRR127515__k141_272243::3::500::1141::+	vat
cohort_merged__DRR127515__k141_280153::4::2174::2812::+	catA
cohort_merged__DRR127515__k141_284663::4::2526::4604::-	vanT
cohort_merged__DRR127515__k141_284663::6::5330::6385::-	vanG
cohort_merged__DRR127515__k141_31349::3::492::977::+	nim
cohort_merged__DRR127515__k141_37951::2::343::1380::-	vanG
cohort_merged__DRR127515__k141_39049::14::11373::12263::-	bla
cohort_merged__DRR127515__k141_64656::8::6119::6565::-	fosX
cohort_merged__DRR127515__k141_8054::1::101::2068::+	tet(32)
cohort_merged__DRR127515__k141_87122::11::6779::7405::+	catA13
cohort_merged__DRR127515__k141_91738::6::6726::7163::+	aac(6')
cohort_merged__DRR127515__k141_9388::2::169::918::+	cfiA17
cohort_merged__DRR127515__k141_94273::1::181::1020::+	vanW
cohort_merged__DRR127517__k141_123182::14::11436::12131::+	vanR
cohort_merged__DRR127517__k141_136456::2::1799::3598::-	blaR1
cohort_merged__DRR127517__k141_143097::1::64::1107::+	vanG
cohort_merged__DRR127517__k141_26900::3::1268::2086::+	vanR
cohort_merged__DRR127517__k141_30979::2::637::1545::-	bla
cohort_merged__DRR127517__k141_51987::9::4981::5934::-	bla
cohort_merged__DRR127517__k141_53939::12::5172::5795::-	catA
cohort_merged__DRR127517__k141_59705::1::533::1321::+	aadA5
cohort_merged__DRR127517__k141_59705::3::1868::2455::+	sul1
cohort_merged__DRR127517__k141_7402::4::1999::2646::+	ant(2'')-Ia
cohort_merged__DRR127517__k141_7402::6::3757::5016::+	cmlA6
cohort_merged__DRR127517__k141_91562::3::1050::2129::-	vanS
cohort_merged__DRR127517__k141_91562::4::2179::2889::-	vanR
cohort_merged__DRR127517__k141_95730::4::2332::3204::-	ant(6)
cohort_merged__DRR127519__k141_21152::20::14147::15232::-	vanS
cohort_merged__DRR127519__k141_21152::21::15219::15920::-	vanR
cohort_merged__DRR127519__k141_42892::1::307::1041::+	erm(T)
cohort_merged__DRR127519__k141_76839::14::13029::14954::-	tet
cohort_merged__DRR127521__k141_108687::3::2536::3213::+	catA
cohort_merged__DRR127521__k141_11001::12::12821::13453::+	vanX
cohort_merged__DRR127521__k141_118521::9::4280::5425::-	blaACT
cohort_merged__DRR127521__k141_118887::7::4715::6514::-	blaR1
cohort_merged__DRR127521__k141_18158::17::14735::15271::-	aac(6')-Im
cohort_merged__DRR127521__k141_18158::18::15315::16214::-	aph(2'')-IIa
cohort_merged__DRR127521__k141_53850::4::3047::4666::-	mcr-10.1
cohort_merged__DRR127521__k141_53888::7::5421::6044::+	catA
cohort_merged__DRR127521__k141_82190::2::522::1223::+	vanR
cohort_merged__DRR127521__k141_8564::1::167::1069::+	bla
cohort_merged__DRR127521__k141_93861::13::7375::9165::+	blaR1
cohort_merged__DRR127524__k141_122556::11::12461::13156::+	vanR
cohort_merged__DRR127524__k141_209712::2::409::1227::+	vanW
cohort_merged__DRR127524__k141_56780::2::2022::2912::+	bla
cohort_merged__DRR127532__k141_17293::1::406::1263::-	blaOXA
cohort_merged__DRR127532__k141_29001::1::352::1005::-	catA
cohort_merged__DRR127532__k141_35099::1::156::1208::-	bla
cohort_merged__DRR127532__k141_38374::16::20027::20749::+	cfxA6
cohort_merged__DRR127535__k141_26778::10::7277::7927::+	catA
cohort_merged__DRR127535__k141_75053::4::1373::2005::+	bla
cohort_merged__DRR127535__k141_82499::6::7220::8182::-	bla
cohort_merged__DRR127535__k141_88618::2::896::1660::+	bla
cohort_merged__DRR127536__k141_16748::4::1042::1497::+	aac(6')
cohort_merged__DRR127536__k141_16940::2::534::2453::+	tet
cohort_merged__DRR127536__k141_30122::1::54::1505::-	aac(6')-Ie/aph(2'')
cohort_merged__DRR127536__k141_35678::3::429::1079::+	catA
cohort_merged__DRR127536__k141_49537::5::2596::3501::-	bla
cohort_merged__DRR127536__k141_52317::3::1684::2373::-	vanR
cohort_merged__DRR127536__k141_60265::2::126::803::+	ant(6)-Ia
cohort_merged__DRR127536__k141_6527::2::860::1714::-	erm(X)
cohort_merged__DRR127536__k141_84816::6::2515::2949::-	aac(6')
cohort_merged__DRR127537__k141_25859::5::2677::4413::-	tetB(46)
cohort_merged__DRR127537__k141_67569::7::6134::6949::-	aph(3')-Ia
cohort_merged__DRR127546__k141_104794::9::7194::7826::-	vat
cohort_merged__DRR127546__k141_145508::2::563::2482::-	tet
cohort_merged__DRR127546__k141_145693::2::1034::1834::-	erm
cohort_merged__DRR127546__k141_14724::1::11::448::-	aac(6')
cohort_merged__DRR127546__k141_37053::2::390::884::-	nim
cohort_merged__DRR127546__k141_39239::2::1003::1695::-	vanR
cohort_merged__DRR127546__k141_49944::20::19198::19887::-	catA
cohort_merged__DRR127552__k141_25850::1::124::1407::-	tet(M)
cohort_merged__DRR127552__k141_37022::2::3709::4593::-	mph
cohort_merged__DRR127557__k141_112637::12::12607::13254::-	catA
cohort_merged__DRR127557__k141_113959::3::418::1053::-	vat
cohort_merged__DRR127557__k141_51400::3::2123::2548::+	fosA2
cohort_merged__DRR127557__k141_9971::1::239::676::-	catA1
cohort_merged__DRR127559__k141_110239::2::1182::1631::+	aac(6')
cohort_merged__DRR127559__k141_123267::4::3221::4141::+	bla
cohort_merged__DRR127559__k141_17374::23::24976::25572::+	erm(G)
cohort_merged__DRR127567__k141_10525::5::3804::4664::+	blaSHV
cohort_merged__DRR127567__k141_18094::104::97287::98147::+	blaOKP-B-1
cohort_merged__DRR127579__k141_16443::2::875::1678::-	aph(3'')-Ib
cohort_merged__DRR127579__k141_3429::1::453::1346::-	bla
cohort_merged__DRR127579__k141_34847::1::312::1556::+	tet(W)
cohort_merged__DRR127579__k141_3984::3::1173::2411::-	mef(H)
cohort_merged__DRR127579__k141_43139::1::150::608::+	dfrA5
cohort_merged__DRR127579__k141_9254::12::6679::8475::+	blaR1
cohort_merged__DRR127580__k141_103475::7::4499::5200::+	vanR
cohort_merged__DRR127580__k141_127387::33::35343::35993::-	catA
cohort_merged__DRR127580__k141_132622::1::286::1170::+	bla
cohort_merged__DRR127580__k141_135174::3::1492::2457::+	bla
cohort_merged__DRR127580__k141_20225::6::7572::8108::-	nim
cohort_merged__DRR127580__k141_22321::2::580::1629::+	bla
cohort_merged__DRR127580__k141_39092::2::814::1464::-	catA
cohort_merged__DRR127580__k141_76641::8::9623::10264::+	catB
cohort_merged__DRR127583__k141_112299::171::221719::222600::+	bla
cohort_merged__DRR127583__k141_114242::1::71::1249::+	blaR1
cohort_merged__DRR127583__k141_43207::1::48::743::-	vanR
cohort_merged__DRR127583__k141_81958::2::698::1381::-	vanR
cohort_merged__DRR127588__k141_10649::3::1624::3420::-	blaR1
cohort_merged__DRR127588__k141_50569::1::253::1032::+	aac(6')
cohort_merged__DRR127588__k141_68773::1::41::469::+	aac(6')-E449
cohort_merged__DRR127594__k141_138667::9::8214::8909::-	vanR
cohort_merged__DRR127596__k141_106152::2::347::1222::+	blaORN
cohort_merged__DRR127596__k141_136786::1::88::1137::+	vanG
cohort_merged__DRR127596__k141_140600::1::127::1377::+	cfr(C)
cohort_merged__DRR127596__k141_35060::5::3311::4006::+	vanR
cohort_merged__DRR127596__k141_65647::2::179::802::+	catA
cohort_merged__DRR127596__k141_69028::1::40::537::-	erm(F)
cohort_merged__DRR127597__k141_10259::51::57447::58262::+	blaOXA
cohort_merged__DRR127597__k141_145176::43::55429::56331::+	bla
cohort_merged__DRR127597__k141_162083::3::922::1356::+	aac(6')
cohort_merged__DRR127597__k141_59434::5::1761::2384::+	catA
cohort_merged__DRR127597__k141_7331::8::8571::9203::-	catA
cohort_merged__DRR127597__k141_86041::3::1749::2441::+	vanR
cohort_merged__DRR127597__k141_86041::5::3571::4701::+	vanG
cohort_merged__DRR127603__k141_4554::3::968::1603::-	catA
cohort_merged__DRR127603__k141_57436::3::892::2082::-	tet(C)
cohort_merged__DRR127613__k141_7211::2::206::895::-	vanR
cohort_merged__DRR127616__k141_113344::3::2173::4050::-	blaR1
cohort_merged__DRR127616__k141_43870::3::940::1854::+	estT
cohort_merged__DRR127617__k141_138979::3::1772::2446::+	catA
cohort_merged__DRR127617__k141_52160::19::15640::16689::+	vanG
cohort_merged__DRR127617__k141_52160::21::17443::19578::+	vanT
cohort_merged__DRR127619__k141_17763::13::9799::10734::-	erm
cohort_merged__DRR127625__k141_127210::4::3240::5213::-	tet
cohort_merged__DRR127625__k141_175779::2::1023::1667::+	catA
cohort_merged__DRR127628__k141_107219::1::170::1648::+	msr(C)
cohort_merged__DRR127628__k141_8136::4::1353::1976::+	catA
cohort_merged__DRR127634__k141_11032::4::2371::2865::-	lnu(C)
cohort_merged__DRR127634__k141_64736::10::9308::9943::+	catA
cohort_merged__DRR127634__k141_95270::21::31167::32066::-	bla
cohort_merged__DRR127638__k141_48995::3::2900::4471::-	blaR1
cohort_merged__DRR127638__k141_53727::3::430::864::-	aac(6')
cohort_merged__DRR127638__k141_54978::3::2546::3592::-	vanG
cohort_merged__DRR127638__k141_62264::2::881::3016::-	vanT
cohort_merged__DRR127638__k141_62264::4::3764::4816::-	vanG
cohort_merged__DRR127638__k141_62264::7::6996::7694::-	vanR
cohort_merged__DRR127646__k141_107036::2::324::704::-	ble
cohort_merged__DRR127646__k141_107036::3::725::1573::-	aph(3')-IIa
cohort_merged__DRR127646__k141_114473::2::218::985::-	rmt
cohort_merged__DRR127646__k141_141676::4::1773::2576::-	aph(3')
cohort_merged__DRR127646__k141_28981::8::5138::5773::+	vat
cohort_merged__DRR127646__k141_53252::1::452::1309::+	ant(6)-Ib
cohort_merged__DRR127646__k141_80495::2::226::627::-	erm(B)
cohort_merged__DRR127646__k141_98073::74::77118::78167::-	vanG
cohort_merged__DRR127646__k141_98073::75::78175::78996::-	vanW
cohort_merged__DRR127646__k141_98073::77::80232::80930::-	vanR
cohort_merged__DRR127647__k141_37048::1::192::1067::+	blaCTX-M-15
cohort_merged__DRR127647__k141_45095::1::39::728::+	vanR
cohort_merged__DRR127649__k141_104150::2::930::1565::-	vat
cohort_merged__DRR127649__k141_109296::2::225::644::+	fosX
cohort_merged__DRR127649__k141_163820::1::73::516::+	fosA
cohort_merged__DRR127649__k141_171933::10::15183::15746::+	lnu(C)
cohort_merged__DRR127649__k141_28830::2::963::1658::+	vanR
cohort_merged__DRR127649__k141_79439::8::8863::9717::-	bla
cohort_merged__DRR127649__k141_86392::5::3090::4115::-	bla
cohort_merged__DRR127666__k141_39256::11::9416::10405::+	bla
cohort_merged__DRR127669__k141_2394::3::2349::3047::-	vanR
cohort_merged__DRR127669__k141_96082::2::392::1441::+	vanG
cohort_merged__DRR127672__k141_1764::3::1945::3864::+	tet(W)
cohort_merged__DRR127672__k141_8751::5::3870::4910::-	vanG
cohort_merged__DRR127674__k141_20663::6::5124::5981::+	bla
cohort_merged__DRR127674__k141_3261::10::7207::8994::+	blaR1
cohort_merged__DRR127674__k141_52509::31::26394::26828::-	aac(6')
cohort_merged__DRR127674__k141_78412::2::259::960::-	vanR
cohort_merged__DRR127683__k141_23530::1::13::897::-	bla
cohort_merged__DRR127683__k141_24380::3::1537::2811::+	tet(A)
cohort_merged__DRR127683__k141_45790::1::441::1049::-	vanX-D
cohort_merged__DRR127683__k141_48984::5::3247::3945::+	vanR-D
cohort_merged__DRR127683__k141_48984::6::3935::5080::+	vanS-D
cohort_merged__DRR127685__k141_117821::375::403549::404421::-	blaOXY-2-6
cohort_merged__DRR127685__k141_126523::2::828::1541::-	vanR
cohort_merged__DRR127692__k141_116192::34::39778::41697::-	tet
cohort_merged__DRR127692__k141_123510::17::19619::21757::-	vanT-G
cohort_merged__DRR127692__k141_123510::18::21750::22514::-	vanXY
cohort_merged__DRR127692__k141_123510::20::23562::24386::-	vanW
cohort_merged__DRR127692__k141_123510::22::25207::26340::-	vanS
cohort_merged__DRR127692__k141_135743::7::7046::7939::-	aac(6')
cohort_merged__DRR127700__k141_113200::3::2145::3629::+	lsa(E)
cohort_merged__DRR127700__k141_113200::4::3683::4486::+	lnu(B)
cohort_merged__DRR127700__k141_119687::2::513::1643::-	vanT
cohort_merged__DRR127700__k141_126551::48::42808::43497::+	vanR
cohort_merged__DRR127700__k141_129133::20::17144::17833::+	vanR
cohort_merged__DRR127700__k141_131684::11::9363::11429::+	vanT
cohort_merged__DRR127700__k141_14697::12::13806::14261::-	aac(6')
cohort_merged__DRR127700__k141_36154::7::8755::9387::-	catA
cohort_merged__DRR127700__k141_68063::15::14613::15302::+	vanR
cohort_merged__DRR127700__k141_68063::19::18639::19460::+	vanW
cohort_merged__DRR127700__k141_80347::2::1115::1831::+	vanR
cohort_merged__DRR127708__k141_136984::2::1416::2261::+	ant(6)
cohort_merged__DRR127708__k141_18611::14::11512::12210::-	vanR
cohort_merged__DRR127708__k141_27581::9::8145::8840::-	vanR
cohort_merged__DRR127708__k141_44919::11::14869::15771::-	bla
cohort_merged__DRR127708__k141_51363::1::59::685::+	arr
cohort_merged__DRR127708__k141_84188::25::22536::24335::+	blaR1
cohort_merged__DRR127708__k141_86944::7::3518::5281::+	blaR1
cohort_merged__DRR127713__k141_15697::1::47::685::-	vat
cohort_merged__DRR127718__k141_42405::2::719::1414::-	vanR
cohort_merged__DRR127720__k141_116926::3::1655::2356::-	vanR
cohort_merged__DRR127720__k141_147834::2::1089::2120::+	cfxA6
cohort_merged__DRR127720__k141_53624::2::897::1586::-	vanR
cohort_merged__DRR127721__k141_15311::71::110540::111445::-	bla
cohort_merged__DRR127721__k141_17492::1::35::583::-	catB3
cohort_merged__DRR127721__k141_17492::2::721::1551::-	blaOXA-1
cohort_merged__DRR127721__k141_17492::3::1682::2200::-	aac(6')-Ib-cr
cohort_merged__DRR127721__k141_3850::4::1836::2696::-	aac(3)-IIe
cohort_merged__DRR127721__k141_40589::2::274::918::-	qnrD1
cohort_merged__DRR127721__k141_4227::2::640::1239::-	dfrA17
cohort_merged__DRR127721__k141_45793::3::2441::3100::-	catA1
cohort_merged__DRR127721__k141_60618::53::49526::50002::+	dfrA51
cohort_merged__DRR127724__k141_10866::2::959::1609::+	catA
cohort_merged__DRR127724__k141_25169::8::6833::7519::+	vanR
cohort_merged__DRR127724__k141_28121::6::6117::6809::+	vanR
cohort_merged__DRR127724__k141_29538::5::3645::4352::+	vanR
cohort_merged__DRR127724__k141_29960::8::5578::7686::-	vanT
cohort_merged__DRR127724__k141_3692::13::11440::13230::-	blaR1
cohort_merged__DRR127724__k141_42264::2::841::1449::-	vanX-D
cohort_merged__DRR127724__k141_56378::2::117::1088::+	vanH-D
cohort_merged__DRR127728__k141_84103::1::39::1958::-	tet
cohort_merged__DRR127731__k141_54603::3::1066::1704::+	vat
cohort_merged__DRR127731__k141_56466::2::131::1168::-	vanG
cohort_merged__DRR127731__k141_57146::4::3149::3847::-	vanR
cohort_merged__DRR127731__k141_59268::2::320::772::-	aac(6')
cohort_merged__DRR127731__k141_8787::3::1254::1952::+	vanR
cohort_merged__DRR127736__k141_33699::5::4768::6564::-	blaR1
cohort_merged__DRR127737__k141_1054::6::5035::6084::+	bla
cohort_merged__DRR127737__k141_3110::12::12157::13197::-	aac(6')
cohort_merged__DRR127748__k141_15348::1::14::742::-	erm(F)
cohort_merged__DRR127748__k141_55317::2::165::881::+	vanR
cohort_merged__DRR127751__k141_16372::5::3551::4813::+	tetA(P)
cohort_merged__DRR127751__k141_16509::1::174::947::-	erm(Q)
cohort_merged__DRR127751__k141_22297::22::24230::25135::+	bla
cohort_merged__DRR127751__k141_53344::3::1370::1870::+	lnu(P)
cohort_merged__DRR127751__k141_55934::4::1927::2967::+	tet(O)
cohort_merged__DRR127751__k141_79852::1::309::989::-	qnrB
cohort_merged__DRR127752__k141_46431::5::2134::3186::+	crxA
cohort_merged__DRR127754__k141_126145::4::1197::2078::-	bla
cohort_merged__DRR127754__k141_44107::6::5597::6397::+	erm
cohort_merged__DRR127755__k141_106927::2::759::1196::-	aac(6')
cohort_merged__DRR127756__k141_101473::37::32954::33790::-	aph(3')
cohort_merged__DRR127756__k141_108948::2::379::1857::+	lsa(C)
cohort_merged__DRR127756__k141_23968::4::2798::4717::-	tet
cohort_merged__DRR127756__k141_37021::2::1061::1759::+	catA
cohort_merged__DRR127756__k141_43312::7::2857::3516::+	npmA
cohort_merged__DRR127756__k141_48591::2::1134::2060::-	aph(2'')-Ig
cohort_merged__DRR127762__k141_147493::7::4838::6643::-	blaR1
cohort_merged__DRR127763__k141_177175::6::3756::4397::+	catA
cohort_merged__DRR127763__k141_9248::6::5786::6691::+	bla
cohort_merged__DRR127767__k141_211118::11::15672::16568::+	bla
cohort_merged__DRR127767__k141_214360::1::88::774::+	vanR
cohort_merged__DRR127774__k141_146418::2::771::1205::+	aac(6')
cohort_merged__DRR127777__k141_107325::2::417::1112::+	vanR
cohort_merged__DRR127777__k141_154186::67::62208::63134::+	aac(6')
cohort_merged__DRR127777__k141_21054::1::78::737::-	catA16
cohort_merged__DRR127777__k141_59621::10::10777::11325::+	aac(6')-I
cohort_merged__DRR127789__k141_106376::4::2075::3871::+	blaR1
cohort_merged__DRR127789__k141_127834::30::32850::34076::+	vanG
cohort_merged__DRR127789__k141_127834::33::35582::36739::+	vanT
cohort_merged__DRR127789__k141_151991::58::45879::46502::-	catA
cohort_merged__DRR127789__k141_155318::16::15538::16455::-	bla
cohort_merged__DRR127789__k141_158222::20::13880::15679::+	blaR1
cohort_merged__DRR127789__k141_163854::3::3843::4541::+	vanR
cohort_merged__DRR127789__k141_178706::7::7758::8453::+	vanR
cohort_merged__DRR127789__k141_19559::2::336::1055::+	vanR
cohort_merged__DRR127789__k141_209315::12::8269::8961::+	vanR
cohort_merged__DRR127789__k141_29137::2::955::1467::+	arr
cohort_merged__DRR127789__k141_29176::60::59711::60391::+	vanR
cohort_merged__DRR127789__k141_36450::15::20064::20882::-	blaOXA
cohort_merged__DRR127789__k141_55296::51::54922::55560::+	vat
cohort_merged__DRR127789__k141_57914::15::10877::12349::-	lsa
cohort_merged__DRR127789__k141_71087::60::62146::62586::+	aac(6')
cohort_merged__DRR127789__k141_91019::48::42315::44426::+	vanT
cohort_merged__DRR127789__k141_96843::79::69170::69610::-	aac(6')
cohort_merged__DRR162775__k141_15465::8::4306::5049::+	vanD
cohort_merged__DRR162775__k141_39272::5::2167::3132::+	bla
cohort_merged__DRR162775__k141_8744::9::9769::10476::+	vanR
cohort_merged__DRR162777__k141_10986::5::6260::7195::+	bla
cohort_merged__DRR162777__k141_24702::14::13862::14947::-	bla
cohort_merged__DRR162777__k141_68417::3::778::1686::+	ant(6)-Ia
cohort_merged__DRR162778__k141_10836::1::60::821::-	mef(En2)
cohort_merged__DRR162778__k141_131126::3::2242::2937::-	vanR
cohort_merged__DRR162778__k141_132073::26::21330::22490::-	ampC-Kaer
cohort_merged__DRR162778__k141_180141::4::2377::3192::-	blaOXA
cohort_merged__DRR162778__k141_19874::1::57::494::-	aac(6')
cohort_merged__DRR162778__k141_56003::19::19043::19465::-	fosA
cohort_merged__DRR162778__k141_95496::1::74::961::+	bla
cohort_merged__DRR162779__k141_43920::6::2725::4521::-	blaR1
cohort_merged__DRR171461__k141_36362::2::223::1212::-	mef(A)
cohort_merged__DRR171462__k141_100290::3::2343::2978::+	catA
cohort_merged__DRR171462__k141_27535::1::223::1125::+	blaR1
cohort_merged__DRR171463__k141_37669::2::659::1456::-	aph(3')
cohort_merged__DRR171464__k141_11201::3::2132::3394::+	tetA(P)
cohort_merged__DRR171464__k141_11201::4::3378::5336::+	tetB(P)
cohort_merged__DRR171464__k141_129886::7::2684::3505::-	aadA2
cohort_merged__DRR171464__k141_129886::8::3555::4028::-	dfrA27
cohort_merged__DRR171465__k141_21910::2::324::1145::-	vanW
cohort_merged__DRR171465__k141_23249::1::121::834::+	vanR
